team,opp_team,gamedate,game_number,offensive_rebounds,off_rebound_chances,oreb_pct
MIA,HOU,2023-02-10,56,8,45,0.1778
MIN,MEM,2023-02-10,59,10,48,0.2083
MEM,MIN,2023-02-10,55,10,39,0.2564
HOU,MIA,2023-02-10,56,17,53,0.3208
CLE,NOP,2023-02-10,58,14,39,0.359
MIL,LAC,2023-02-10,56,12,46,0.2609
POR,OKC,2023-02-10,56,13,35,0.3714
PHX,IND,2023-02-10,58,23,51,0.451
SAC,DAL,2023-02-10,55,6,36,0.1667
LAC,MIL,2023-02-10,59,3,43,0.0698
NOP,CLE,2023-02-10,57,17,47,0.3617
DAL,SAC,2023-02-10,57,12,45,0.2667
OKC,POR,2023-02-10,55,13,37,0.3514
BOS,CHA,2023-02-10,56,7,47,0.1489
IND,PHX,2023-02-10,57,14,53,0.2642
NYK,PHI,2023-02-10,57,6,41,0.1463
PHI,NYK,2023-02-10,54,10,42,0.2381
CHA,BOS,2023-02-10,57,13,52,0.25
UTA,TOR,2023-02-10,57,14,46,0.3043
TOR,UTA,2023-02-10,57,15,53,0.283
SAC,DAL,2023-02-11,56,12,50,0.24
DAL,SAC,2023-02-11,58,8,48,0.1667
CLE,CHI,2023-02-11,59,13,52,0.25
GSW,LAL,2023-02-11,56,13,57,0.2281
CHI,CLE,2023-02-11,56,10,40,0.25
BKN,PHI,2023-02-11,56,19,57,0.3333
LAL,GSW,2023-02-11,57,12,50,0.24
PHI,BKN,2023-02-11,55,11,43,0.2558
WAS,IND,2023-02-11,55,11,28,0.3929
MIA,ORL,2023-02-11,57,17,50,0.34
ORL,MIA,2023-02-11,57,15,52,0.2885
NYK,UTA,2023-02-11,58,23,56,0.4107
UTA,NYK,2023-02-11,58,13,47,0.2766
IND,WAS,2023-02-11,58,22,55,0.4
CHA,DEN,2023-02-11,58,9,50,0.18
SAS,ATL,2023-02-11,57,18,55,0.3273
DEN,CHA,2023-02-11,57,17,51,0.3333
ATL,SAS,2023-02-11,57,18,56,0.3214
BOS,MEM,2023-02-12,57,17,52,0.3269
TOR,DET,2023-02-12,58,17,46,0.3696
MEM,BOS,2023-02-12,56,6,46,0.1304
DET,TOR,2023-02-12,58,14,42,0.3333
CHA,ATL,2023-02-13,59,6,33,0.1818
BKN,NYK,2023-02-13,57,14,48,0.2917
UTA,IND,2023-02-13,59,16,44,0.3636
MIA,DEN,2023-02-13,58,18,51,0.3529
ORL,CHI,2023-02-13,58,9,45,0.2
SAS,CLE,2023-02-13,58,18,43,0.4186
NOP,OKC,2023-02-13,58,7,36,0.1944
PHI,HOU,2023-02-13,56,8,37,0.2162
CLE,SAS,2023-02-13,60,11,36,0.3056
MIN,DAL,2023-02-13,60,12,39,0.3077
ATL,CHA,2023-02-13,58,20,55,0.3636
HOU,PHI,2023-02-13,57,19,53,0.3585
CHI,ORL,2023-02-13,57,13,51,0.2549
NYK,BKN,2023-02-13,59,10,40,0.25
IND,UTA,2023-02-13,59,9,49,0.1837
DAL,MIN,2023-02-13,59,14,46,0.3043
DEN,MIA,2023-02-13,58,8,34,0.2353
OKC,NOP,2023-02-13,56,22,52,0.4231
LAL,POR,2023-02-13,58,18,55,0.3273
GSW,WAS,2023-02-13,57,15,40,0.375
WAS,GSW,2023-02-13,56,10,34,0.2941
POR,LAL,2023-02-13,57,9,52,0.1731
MIL,BOS,2023-02-14,57,13,50,0.26
BOS,MIL,2023-02-14,58,9,55,0.1636
ORL,TOR,2023-02-14,59,14,43,0.3256
TOR,ORL,2023-02-14,59,14,36,0.3889
PHX,SAC,2023-02-14,59,11,40,0.275
SAC,PHX,2023-02-14,57,15,48,0.3125
WAS,POR,2023-02-14,57,8,34,0.2353
LAC,GSW,2023-02-14,60,16,44,0.3636
GSW,LAC,2023-02-14,58,12,43,0.2791
POR,WAS,2023-02-14,58,13,55,0.2364
CLE,PHI,2023-02-15,61,10,43,0.2326
IND,CHI,2023-02-15,60,10,43,0.2326
CHI,IND,2023-02-15,58,8,45,0.1778
PHI,CLE,2023-02-15,57,11,39,0.2821
